"anio","depto","producto","sale_kg","ingresa_kg","total_importado"
2015,"ANTIOQUIA","tomate larga vida",43366,294216,-250850
2015,"ANTIOQUIA","tomate riogrande",201946,0,201946
2015,"ANTIOQUIA","tomates otros",47170,1342848,-1295678
2015,"ANTIOQUIA","yuca",12017261,14196321,-2179060
2015,"ANTIOQUIA","zanahoria",27796105,27916874,-120769
2016,"ANTIOQUIA","arroz",831950,67563525,-66731575
2016,"ANTIOQUIA","carne de cerdo",4041479,3808979,232500
2016,"ANTIOQUIA","carne de res",7538192,7390442,147750
2016,"ANTIOQUIA","cebolla cabezona",84828,22168508,-22083680
2016,"ANTIOQUIA","cebolla junca",4377887,5974453,-1596566
2016,"ANTIOQUIA","cilantro",1946955,1958003,-11048
2016,"ANTIOQUIA","fríjol",2256956,5006896,-2749940
2016,"ANTIOQUIA","fríjol verde",7432095,7384370,47725
2016,"ANTIOQUIA","huevo",3992871.96,5396931.42,-1404059.46
2016,"ANTIOQUIA","lechuga batavia",10567048,12413147,-1846099
2016,"ANTIOQUIA","limón común",135330,1599610,-1464280
2016,"ANTIOQUIA","limón mandarino",1659932,2081870,-421938
2016,"ANTIOQUIA","limón tahití",902357,4718543,-3816186
2016,"ANTIOQUIA","papa capira",49143100,101446165,-52303065
2016,"ANTIOQUIA","papa criolla",8582709,10477344,-1894635
2016,"ANTIOQUIA","papa nevada",4439027,3410787,1028240
2016,"ANTIOQUIA","papa parda pastusa",3760,2760,1000
2016,"ANTIOQUIA","papa única",2500,0,2500
2016,"ANTIOQUIA","papas negras otras",7500,16200,-8700
2016,"ANTIOQUIA","plátano guineo",2027081,4646165,-2619084
2016,"ANTIOQUIA","plátano hartón verde",23177901,51884074,-28706173
2016,"ANTIOQUIA","plátanos otros",954908,2455280,-1500372
2016,"ANTIOQUIA","repollo",14577078.5,15924187,-1347108.5
2016,"ANTIOQUIA","tomate chonto",25365938,30138930,-4772992
2016,"ANTIOQUIA","tomate larga vida",108524,246696,-138172
2016,"ANTIOQUIA","tomate riogrande",177900,8000,169900
2016,"ANTIOQUIA","tomates otros",33765,1210243,-1176478
2016,"ANTIOQUIA","yuca",16152206,16387719,-235513
2016,"ANTIOQUIA","zanahoria",25700812,26974568,-1273756
2017,"ANTIOQUIA","arroz",519650,70164865,-69645215
2017,"ANTIOQUIA","carne de cerdo",4061783,3779433,282350
2017,"ANTIOQUIA","carne de res",6230292,6035642,194650
2017,"ANTIOQUIA","cebolla cabezona",274714,23794063,-23519349
2017,"ANTIOQUIA","cebolla junca",4230760,5959101,-1728341
2017,"ANTIOQUIA","cilantro",2153233,2143743,9490
2017,"ANTIOQUIA","fríjol",2557940,6111590,-3553650
2017,"ANTIOQUIA","fríjol verde",8053183,8158250,-105067
2017,"ANTIOQUIA","huevo",3577927.02,4623528.42,-1045601.4
2017,"ANTIOQUIA","lechuga batavia",12078450,13868577,-1790127
2017,"ANTIOQUIA","limón común",161905,2513430,-2351525
2017,"ANTIOQUIA","limón mandarino",1758631,2278766,-520135
2017,"ANTIOQUIA","limón tahití",1456567,5176708,-3720141
2017,"ANTIOQUIA","papa capira",43132920,110600031,-67467111
2017,"ANTIOQUIA","papa criolla",12209657,14755545,-2545888
2017,"ANTIOQUIA","papa morasurco",1920,1920,0
2017,"ANTIOQUIA","papa nevada",4983435,3789275,1194160
2017,"ANTIOQUIA","papa r-12",14450,1837050,-1822600
2017,"ANTIOQUIA","papa única",29750,0,29750
2017,"ANTIOQUIA","papas negras otras",185500,185500,0
2017,"ANTIOQUIA","plátano guineo",2588626,6064163,-3475537
2017,"ANTIOQUIA","plátano hartón verde",26360105,56679178,-30319073
2017,"ANTIOQUIA","plátanos otros",195765,1010110,-814345
2017,"ANTIOQUIA","repollo",15303823.5,15765491,-461667.5
2017,"ANTIOQUIA","tomate chonto",27522454,30261205,-2738751
2017,"ANTIOQUIA","tomate larga vida",117654,215813,-98159
2017,"ANTIOQUIA","tomate riogrande",86422,0,86422
