"mes","anio","depto","producto","sale_kg","ingresa_kg","total_importado","fecha"
1,2015,"ANTIOQUIA","Limones otros",0.104615,0.315515,-0.2109,2015-01-01
1,2015,"ANTIOQUIA","Limón Tahití",0.0873,0.5231,-0.4358,2015-01-01
1,2015,"ANTIOQUIA","Papa capira",3.799405,8.429605,-4.6302,2015-01-01
1,2015,"ANTIOQUIA","Papa criolla",1.499297,1.498297,0.00100000000000011,2015-01-01
1,2015,"ANTIOQUIA","Papa nevada",0.291065,0.239065,0.052,2015-01-01
1,2015,"ANTIOQUIA","Papas negras otras",0.002,0,0.002,2015-01-01
1,2015,"ANTIOQUIA","Plátano guineo",0.24791,0.62931,-0.3814,2015-01-01
1,2015,"ANTIOQUIA","Plátano hartón verde",1.30897,4.26367,-2.9547,2015-01-01
1,2015,"ANTIOQUIA","Plátanos otros",0.14594,0.43192,-0.28598,2015-01-01
1,2015,"ANTIOQUIA","Repollo",1.12629,1.26035,-0.13406,2015-01-01
1,2015,"ANTIOQUIA","Tomate Riogrande",0.036,0,0.036,2015-01-01
1,2015,"ANTIOQUIA","Tomate chonto",2.15861,2.997678,-0.839068,2015-01-01
1,2015,"ANTIOQUIA","Tomate larga vida",0.0018,0.0058,-0.004,2015-01-01
1,2015,"ANTIOQUIA","Tomates otros",0.0006,0.1616,-0.161,2015-01-01
1,2015,"ANTIOQUIA","Yuca",0.84565,1.2366,-0.39095,2015-01-01
1,2015,"ANTIOQUIA","Zanahoria",2.470978,2.534242,-0.0632639999999998,2015-01-01
1,2016,"ANTIOQUIA","Arroz",0.03936,5.1754,-5.13604,2016-01-01
1,2016,"ANTIOQUIA","Carne de cerdo",0.32689,0.29589,0.031,2016-01-01
1,2016,"ANTIOQUIA","Carne de res",0.68425,0.68425,0,2016-01-01
1,2016,"ANTIOQUIA","Cebolla Cabezona",0.01138,1.731132,-1.719752,2016-01-01
1,2016,"ANTIOQUIA","Cebolla junca",0.241782,0.483104,-0.241322,2016-01-01
1,2016,"ANTIOQUIA","Cilantro",0.150756,0.151626,-0.00087000000000001,2016-01-01
