year,IHH
2013,0.10153406870031918
2014,0.10803415710037173
2015,0.10903390668712987
2016,0.12158789963001213
2017,0.12287806263047621
2018,0.1090416050126341
2019,0.1014874188625624
2021,0.10119055470386679
2022,0.09880658986449664
2023,0.1128165800786691
