"","anio","producto","IHH"
"107",2016,"PLÁTANOS OTROS",0.0918916258990813
"108",2016,"REPOLLO",0.37315591375101
"109",2016,"TOMATE CHONTO",0.130243882337342
"110",2016,"TOMATE LARGA VIDA",0.1126767484509
"111",2016,"TOMATE RIOGRANDE",1
"112",2016,"TOMATES OTROS",0.42094466949682
"113",2016,"YUCA",0.78420694790528
"114",2016,"ZANAHORIA",0.346038425569783
"115",2017,"ARROZ",0.316220473578465
"116",2017,"CARNE DE CERDO",0.338643896851113
"117",2017,"CARNE DE RES",0.750554080724751
"118",2017,"CEBOLLA CABEZONA",0.324082348908949
"119",2017,"CEBOLLA JUNCA",0.285998870327597
"120",2017,"CILANTRO",0.395507291026713
"121",2017,"FRÍJOL",0.105405532916734
"122",2017,"FRÍJOL VERDE",0.30529744950843
"123",2017,"HUEVO",0.218328984522775
"124",2017,"LECHUGA BATAVIA",0.37027108413702
"125",2017,"LIMÓN COMÚN",0.455934230811055
"126",2017,"LIMÓN MANDARINO",0.101547784676013
"127",2017,"LIMÓN TAHITÍ",0.082987779198567
"128",2017,"PAPA BETINA",1
"129",2017,"PAPA CAPIRA",0.25423243472341
"130",2017,"PAPA CRIOLLA",0.151566997213913
"131",2017,"PAPA MORASURCO",1
"132",2017,"PAPA NEVADA",0.540026383245505
"133",2017,"PAPA R-12",0.924842626302038
"134",2017,"PAPAS NEGRAS OTRAS",0.937402372839488
"135",2017,"PLÁTANO GUINEO",0.0804629065796475
"136",2017,"PLÁTANO HARTÓN VERDE",0.077407313386842
"137",2017,"PLÁTANOS OTROS",0.105530969210584
"138",2017,"REPOLLO",0.403106683516341
"139",2017,"TOMATE CHONTO",0.125832253970055
"140",2017,"TOMATE LARGA VIDA",0.0947210294140197
"141",2017,"TOMATES OTROS",0.447474874881047
"142",2017,"YUCA",0.720074301506378
"143",2017,"ZANAHORIA",0.310680035709125
"144",2018,"ARROZ",0.275814673948366
"145",2018,"CARNE DE CERDO",0.269539393046736
"146",2018,"CARNE DE RES",0.736412306664167
"147",2018,"CEBOLLA CABEZONA",0.260396575753738
"148",2018,"CEBOLLA JUNCA",0.249079955397097
"149",2018,"CILANTRO",0.366498561590393
"150",2018,"FRÍJOL",0.0898973968473226
"151",2018,"FRÍJOL VERDE",0.267926694339579
"152",2018,"HUEVO",0.228134537030564
"153",2018,"LECHUGA BATAVIA",0.437399470473124
"154",2018,"LIMÓN COMÚN",0.445102511704339
"155",2018,"LIMÓN MANDARINO",0.0825943085312091
"156",2018,"LIMÓN TAHITÍ",0.0692401382975108
"157",2018,"PAPA CAPIRA",0.240531579122876
"158",2018,"PAPA CRIOLLA",0.134631387554006
"159",2018,"PAPA NEVADA",0.45411125566899
"160",2018,"PAPA R-12",0.824101376337095
"161",2018,"PAPA ÚNICA",1
"162",2018,"PAPAS NEGRAS OTRAS",0.933746263835653
"163",2018,"PLÁTANO GUINEO",0.0862262865393548
"164",2018,"PLÁTANO HARTÓN VERDE",0.0801486313620161
"165",2018,"PLÁTANOS OTROS",0.124152072717592
"166",2018,"REPOLLO",0.379923553549402
"167",2018,"TOMATE CHONTO",0.155096526594186
"168",2018,"TOMATE LARGA VIDA",0.343026877951574
"169",2018,"TOMATES OTROS",0.335301133183655
"170",2018,"YUCA",0.507037344556939
"171",2018,"ZANAHORIA",0.322122167790719
"172",2019,"ARROZ",0.261447251402554
"173",2019,"CARNE DE CERDO",0.282171618069985
"174",2019,"CARNE DE RES",0.565610840667523
"175",2019,"CEBOLLA CABEZONA",0.301883826472777
"176",2019,"CEBOLLA JUNCA",0.253702048092603
"177",2019,"CILANTRO",0.365618525633264
"178",2019,"FRÍJOL",0.085225009420521
"179",2019,"FRÍJOL VERDE",0.244834226252663
"180",2019,"HUEVO",0.246565251372982
"181",2019,"LECHUGA BATAVIA",0.321922302758778
"182",2019,"LIMÓN COMÚN",0.440858327880066
"183",2019,"LIMÓN MANDARINO",0.0842265631892119
"184",2019,"LIMÓN TAHITÍ",0.0559722879551508
"185",2019,"PAPA CAPIRA",0.21609967352381
"186",2019,"PAPA CRIOLLA",0.140808127621054
"187",2019,"PAPA NEVADA",0.434341362958217
"188",2019,"PAPA PARDA PASTUSA",1
"189",2019,"PAPA R-12",0.362997917977232
"190",2019,"PAPA ÚNICA",1
"191",2019,"PAPAS NEGRAS OTRAS",0.986831607862474
"192",2019,"PLÁTANO GUINEO",0.0889511250797313
"193",2019,"PLÁTANO HARTÓN VERDE",0.0801307741590624
"194",2019,"PLÁTANOS OTROS",0.105647551658284
"195",2019,"REPOLLO",0.362069145696155
"196",2019,"TOMATE CHONTO",0.178211272982659
"197",2019,"TOMATE LARGA VIDA",0.252469249834736
"198",2019,"TOMATES OTROS",0.417294786328185
"199",2019,"YUCA",0.764165377231411
"200",2019,"ZANAHORIA",0.340185018934758
"201",2021,"ARROZ",0.353253377973089
"202",2021,"CARNE DE CERDO",0.334912640744676
"203",2021,"CARNE DE RES",0.647512968796443
"204",2021,"CEBOLLA CABEZONA",0.358145728811445
"205",2021,"CEBOLLA JUNCA",0.268940239447365
"206",2021,"CILANTRO",0.322083557609091
"207",2021,"FRÍJOL",0.0727404369352194
"208",2021,"FRÍJOL VERDE",0.206126567542362
"209",2021,"HUEVO",0.201899606048805
"210",2021,"LECHUGA BATAVIA",0.379110732824488
"211",2021,"LIMÓN COMÚN",0.604961651466886
"212",2021,"LIMÓN MANDARINO",0.0898223551473723
"213",2021,"LIMÓN TAHITÍ",0.0505503331121998
"214",2021,"PAPA CAPIRA",0.123886122713661
"215",2021,"PAPA CRIOLLA",0.156938905714302
"216",2021,"PAPA NEVADA",0.348703355273954
"217",2021,"PAPA PARDA PASTUSA",1
"218",2021,"PAPA R-12",0.35465243163649
"219",2021,"PAPA ÚNICA",1
"220",2021,"PAPAS NEGRAS OTRAS",0.966739779944401
"221",2021,"PLÁTANO GUINEO",0.078156387514165
"222",2021,"PLÁTANO HARTÓN VERDE",0.0671557246446271
"223",2021,"PLÁTANOS OTROS",0.0968127303043291
"224",2021,"REPOLLO",0.292093537473561
"225",2021,"TOMATE CHONTO",0.17668407601715
"226",2021,"TOMATE LARGA VIDA",0.237301714468835
"227",2021,"TOMATES OTROS",0.201554384315517
"228",2021,"YUCA",0.661261730714358
