"","anio","IHH"
"1",2013,0.0439310031886474
"2",2014,0.0434394055697763
"3",2015,0.0454783007176241
"4",2016,0.0452452400934842
"5",2017,0.0487618812355305
"6",2018,0.0444122543237175
"7",2019,0.0403670977460464
"8",2021,0.0348543254518726
"9",2022,0.0343053640432059
"10",2023,0.0296714517013395
