"anio","mes","mes_y_ano","indice_vulnerabilidad"
2013,1,2013-01-01,0.0435503133396492
2013,10,2013-10-01,0.136363009948943
2013,11,2013-11-01,0.133077982498429
2013,12,2013-12-01,0.146441080084063
2013,2,2013-02-01,0.154094208873628
2013,3,2013-03-01,0.0450817160502482
2013,4,2013-04-01,0.145323379798906
2013,5,2013-05-01,0.0531312542864295
2013,6,2013-06-01,0.0375319894434809
2013,7,2013-07-01,0.0503484849217123
2013,8,2013-08-01,0.0488344658147212
2013,9,2013-09-01,0.144444683307882
2014,1,2014-01-01,0.0331268960969959
2014,10,2014-10-01,0.0318872018807572
2014,11,2014-11-01,0.133110455629339
2014,12,2014-12-01,0.131800087534696
2014,2,2014-02-01,0.0420885216787007
2014,3,2014-03-01,0.157973372844623
2014,4,2014-04-01,0.128109103426858
2014,5,2014-05-01,0.0484200996085623
2014,6,2014-06-01,0.0482400254494203
2014,7,2014-07-01,0.0290102090508789
2014,8,2014-08-01,0.0299241010886988
2014,9,2014-09-01,0.0336554155805659
2015,1,2015-01-01,0.0658993252072168
2015,10,2015-10-01,0.0510524860475014
2015,11,2015-11-01,0.0404390186528431
2015,12,2015-12-01,0.0523351514150146
2015,2,2015-02-01,0.14741737937585
2015,3,2015-03-01,0.0309030891358938
2015,4,2015-04-01,0.0527133373045088
2015,5,2015-05-01,0.0292139657615126
2015,6,2015-06-01,0.0481744335275913
2015,7,2015-07-01,0.0531340052381811
2015,8,2015-08-01,0.031927512746226
2015,9,2015-09-01,0.0325422776682646
2016,1,2016-01-01,0.132357662280843
2016,10,2016-10-01,0.170797583948869
2016,11,2016-11-01,0.0466235014905257
2016,12,2016-12-01,0.0434225971205532
2016,2,2016-02-01,0.0577961640445215
2016,3,2016-03-01,0.0299409138253858
2016,4,2016-04-01,0.032469246651409
2016,5,2016-05-01,0.0360111747268627
2016,6,2016-06-01,0.0317466954094667
2016,7,2016-07-01,0.0350560747098189
2016,8,2016-08-01,0.0519080291984207
2016,9,2016-09-01,0.0455107841100299
2017,1,2017-01-01,0.0519497883043838
2017,10,2017-10-01,0.0583910132095113
2017,11,2017-11-01,0.0539631178698289
2017,12,2017-12-01,0.148336186233792
2017,2,2017-02-01,0.0661775730699044
2017,3,2017-03-01,0.178905888931343
2017,4,2017-04-01,0.0305185916550922
2017,5,2017-05-01,0.040224846313634
2017,6,2017-06-01,0.0332858299642162
2017,7,2017-07-01,0.0385339372495471
2017,8,2017-08-01,0.054432179935135
2017,9,2017-09-01,0.150092869290353
2018,1,2018-01-01,0.165636024729276
2018,10,2018-10-01,0.0305246044403338
2018,11,2018-11-01,0.0319579826365346
2018,12,2018-12-01,0.0311583989447435
2018,2,2018-02-01,0.055636865617384
2018,3,2018-03-01,0.0468530045848628
2018,4,2018-04-01,0.0446442669060044
2018,5,2018-05-01,0.0444985736326027
2018,6,2018-06-01,0.044723084825799
2018,7,2018-07-01,0.0389652914077685
2018,8,2018-08-01,0.0429664883231988
2018,9,2018-09-01,0.0426631543190486
2019,1,2019-01-01,0.0427864581125667
2019,10,2019-10-01,0.029697691452886
2019,11,2019-11-01,0.0400932350649574
2019,12,2019-12-01,0.0393217408079186
2019,2,2019-02-01,0.0417331894424543
2019,3,2019-03-01,0.0384705061643805
2019,4,2019-04-01,0.0428063152260609
2019,5,2019-05-01,0.0420572356896258
2019,6,2019-06-01,0.0304777823317143
2019,7,2019-07-01,0.0285580442635499
2019,8,2019-08-01,0.0367711593136824
2019,9,2019-09-01,0.0423627710199641
2021,1,2021-01-01,0.034986242302208
2021,10,2021-10-01,0.0373427126607666
2021,11,2021-11-01,0.0362967234980976
2021,12,2021-12-01,0.026344929708659
2021,2,2021-02-01,0.0372526621988216
2021,3,2021-03-01,0.041394861437305
2021,4,2021-04-01,0.0424648318271155
2021,5,2021-05-01,0.0391774865445651
2021,6,2021-06-01,0.0387747018885478
2021,7,2021-07-01,0.0366052831313473
2021,8,2021-08-01,0.0377341951004336
2021,9,2021-09-01,0.0356344300207177
2022,1,2022-01-01,0.0440479231499728
2022,10,2022-10-01,0.0350706801519173
2022,11,2022-11-01,0.0358875937802229
2022,12,2022-12-01,0.0333447893491842
2022,2,2022-02-01,0.0375790797296135
2022,3,2022-03-01,0.0382232589496132
2022,4,2022-04-01,0.0380972057184917
2022,5,2022-05-01,0.0390772600331999
2022,6,2022-06-01,0.0355745988507236
2022,7,2022-07-01,0.0356928182071168
2022,8,2022-08-01,0.0348116507206096
2022,9,2022-09-01,0.0358064386507214
2023,1,2023-01-01,0.0339308890635208
2023,10,2023-10-01,0.0343900030136716
2023,11,2023-11-01,0.0342790309066962
2023,12,2023-12-01,0.0316049736757925
2023,2,2023-02-01,0.0325688252784471
2023,3,2023-03-01,0.0344999570064347
2023,4,2023-04-01,0.037311717736771
2023,5,2023-05-01,0.0379237259629594
2023,6,2023-06-01,0.034621600675488
2023,7,2023-07-01,0.033588386101786
2023,8,2023-08-01,0.033257821507768
2023,9,2023-09-01,0.0322064459012672
