"anio","indice_vulnerabilidad"
2013,0.0390279655047486
2014,0.0294710315865198
2015,0.0307695921353127
2016,0.0317850102965762
2017,0.0330443124038702
2018,0.0308407626104666
2019,0.0289529356402248
2021,0.0256308978220578
2022,0.0338781240182995
2023,0.0324919477446438
